cls_model,backend,search_alg,status,error_detail
AutoLSTM,optuna,None,Error,Optuna Backend Requirement Error
AutoLSTM,optuna,Basic,Error,Optuna Backend Requirement Error
AutoLSTM,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoLSTM,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoMLP,ray,None,OK,
AutoMLP,ray,Basic,OK,
AutoMLP,ray,Ray_Optuna,OK,
AutoMLP,ray,Ray_HyperOpt,OK,
AutoMLP,optuna,None,Error,Optuna Backend Requirement Error
AutoMLP,optuna,Basic,Error,Optuna Backend Requirement Error
AutoMLP,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoMLP,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoMLPMultivariate,ray,None,OK,
AutoMLPMultivariate,ray,Basic,OK,
AutoMLPMultivariate,ray,Ray_Optuna,OK,
AutoMLPMultivariate,ray,Ray_HyperOpt,OK,
AutoMLPMultivariate,optuna,None,Error,Callable Expected Error
AutoMLPMultivariate,optuna,Basic,Error,Callable Expected Error
AutoMLPMultivariate,optuna,Ray_Optuna,Error,Callable Expected Error
AutoMLPMultivariate,optuna,Ray_HyperOpt,Error,Callable Expected Error
AutoNBEATS,ray,None,OK,
AutoNBEATS,ray,Basic,OK,
AutoNBEATS,ray,Ray_Optuna,OK,
AutoNBEATS,ray,Ray_HyperOpt,OK,
AutoNBEATS,optuna,None,Error,Optuna Backend Requirement Error
AutoNBEATS,optuna,Basic,Error,Optuna Backend Requirement Error
AutoNBEATS,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoNBEATS,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoNBEATSx,ray,None,OK,
AutoNBEATSx,ray,Basic,OK,
AutoNBEATSx,ray,Ray_Optuna,OK,
AutoNBEATSx,ray,Ray_HyperOpt,OK,
AutoNBEATSx,optuna,None,Error,Optuna Backend Requirement Error
AutoNBEATSx,optuna,Basic,Error,Optuna Backend Requirement Error
AutoNBEATSx,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoNBEATSx,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoNHITS,ray,None,OK,
AutoNHITS,ray,Basic,OK,
AutoNHITS,ray,Ray_Optuna,OK,
AutoNHITS,ray,Ray_HyperOpt,OK,
AutoNHITS,optuna,None,Error,Optuna Backend Requirement Error
AutoNHITS,optuna,Basic,Error,Optuna Backend Requirement Error
AutoNHITS,optuna,Ray_Optuna,Error,Optuna Backend Requirement Error
AutoNHITS,optuna,Ray_HyperOpt,Error,Optuna Backend Requirement Error
AutoNLinear,ray,None,OK,
AutoNLinear,ray,Basic,OK,
AutoNLinear,ray,Ray_Optuna,OK,
