Model_Class,Target_Loss,Status,Recommended_Backend,Supported_Search_Algs,Min_H_Constraint,Required_Direct_Args,Recommended_Config,Loss_Init_Snippet,Notes
AutoDeepAR,sCRPS,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},sCRPS(),Requires valid_loss
AutoDeepNPTS,Accuracy,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},Accuracy(),Requires valid_loss
AutoDeepNPTS,DistributionLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},DistributionLoss(distribution='Normal'),Requires valid_loss
AutoDeepNPTS,GMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},GMM(),Requires valid_loss
AutoDeepNPTS,HuberIQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberIQLoss(),Requires valid_loss
AutoDeepNPTS,HuberLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberLoss(),Requires valid_loss
AutoDeepNPTS,HuberMQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberMQLoss(),Requires valid_loss
AutoDeepNPTS,HuberQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberQLoss(q=0.5),Requires valid_loss
AutoDeepNPTS,IQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},IQLoss(),Requires valid_loss
AutoDeepNPTS,MAE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAE(),Requires valid_loss
AutoDeepNPTS,MAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAPE(),Requires valid_loss
AutoDeepNPTS,MASE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MASE(),Requires valid_loss
AutoDeepNPTS,MQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MQLoss(),Requires valid_loss
AutoDeepNPTS,MSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MSE(),Requires valid_loss
AutoDeepNPTS,NBMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},NBMM(),Requires valid_loss
AutoDeepNPTS,PMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},PMM(),Requires valid_loss
AutoDeepNPTS,QuantileLayer,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLayer(num_output=1),Requires valid_loss
AutoDeepNPTS,QuantileLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLoss(q=0.5),Requires valid_loss
AutoDeepNPTS,RMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},RMSE(),Requires valid_loss
AutoDeepNPTS,SMAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},SMAPE(),Requires valid_loss
AutoDeepNPTS,TukeyLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},TukeyLoss(),Requires valid_loss
AutoDeepNPTS,relMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},relMSE(),Requires valid_loss
AutoDeepNPTS,sCRPS,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},sCRPS(),Requires valid_loss
AutoDilatedRNN,Accuracy,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},Accuracy(),Requires valid_loss
AutoDilatedRNN,DistributionLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},DistributionLoss(distribution='Normal'),Requires valid_loss
AutoDilatedRNN,GMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},GMM(),Requires valid_loss
AutoDilatedRNN,HuberIQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberIQLoss(),Requires valid_loss
AutoDilatedRNN,HuberLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberLoss(),Requires valid_loss
AutoDilatedRNN,HuberMQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberMQLoss(),Requires valid_loss
AutoDilatedRNN,HuberQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberQLoss(q=0.5),Requires valid_loss
AutoDilatedRNN,IQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},IQLoss(),Requires valid_loss
AutoDilatedRNN,MAE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAE(),Requires valid_loss
AutoDilatedRNN,MAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAPE(),Requires valid_loss
AutoDilatedRNN,MASE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MASE(),Requires valid_loss
AutoDilatedRNN,MQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MQLoss(),Requires valid_loss
AutoDilatedRNN,MSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MSE(),Requires valid_loss
AutoDilatedRNN,NBMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},NBMM(),Requires valid_loss
AutoDilatedRNN,PMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},PMM(),Requires valid_loss
AutoDilatedRNN,QuantileLayer,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLayer(num_output=1),Requires valid_loss
AutoDilatedRNN,QuantileLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLoss(q=0.5),Requires valid_loss
AutoDilatedRNN,RMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},RMSE(),Requires valid_loss
AutoDilatedRNN,SMAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},SMAPE(),Requires valid_loss
AutoDilatedRNN,TukeyLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},TukeyLoss(),Requires valid_loss
AutoDilatedRNN,relMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},relMSE(),Requires valid_loss
AutoDilatedRNN,sCRPS,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},sCRPS(),Requires valid_loss
AutoFEDformer,Accuracy,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},Accuracy(),Requires valid_loss
AutoFEDformer,DistributionLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},DistributionLoss(distribution='Normal'),Requires valid_loss
AutoFEDformer,GMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},GMM(),Requires valid_loss
AutoFEDformer,HuberIQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberIQLoss(),Requires valid_loss
AutoFEDformer,HuberLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberLoss(),Requires valid_loss
AutoFEDformer,HuberMQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberMQLoss(),Requires valid_loss
AutoFEDformer,HuberQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberQLoss(q=0.5),Requires valid_loss
AutoFEDformer,IQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},IQLoss(),Requires valid_loss
AutoFEDformer,MAE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAE(),Requires valid_loss
AutoFEDformer,MAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAPE(),Requires valid_loss
AutoFEDformer,MASE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MASE(),Requires valid_loss
AutoFEDformer,MQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MQLoss(),Requires valid_loss
AutoFEDformer,MSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MSE(),Requires valid_loss
AutoFEDformer,NBMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},NBMM(),Requires valid_loss
AutoFEDformer,PMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},PMM(),Requires valid_loss
AutoFEDformer,QuantileLayer,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLayer(num_output=1),Requires valid_loss
AutoFEDformer,QuantileLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},QuantileLoss(q=0.5),Requires valid_loss
AutoFEDformer,RMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},RMSE(),Requires valid_loss
AutoFEDformer,SMAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},SMAPE(),Requires valid_loss
AutoFEDformer,TukeyLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},TukeyLoss(),Requires valid_loss
AutoFEDformer,relMSE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},relMSE(),Requires valid_loss
AutoFEDformer,sCRPS,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},sCRPS(),Requires valid_loss
AutoGRU,Accuracy,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},Accuracy(),Requires valid_loss
AutoGRU,DistributionLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},DistributionLoss(distribution='Normal'),Requires valid_loss
AutoGRU,GMM,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},GMM(),Requires valid_loss
AutoGRU,HuberIQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberIQLoss(),Requires valid_loss
AutoGRU,HuberLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberLoss(),Requires valid_loss
AutoGRU,HuberMQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberMQLoss(),Requires valid_loss
AutoGRU,HuberQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},HuberQLoss(q=0.5),Requires valid_loss
AutoGRU,IQLoss,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},IQLoss(),Requires valid_loss
AutoGRU,MAE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAE(),Requires valid_loss
AutoGRU,MAPE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MAPE(),Requires valid_loss
AutoGRU,MASE,Ready,ray,"['Basic', 'Optuna', 'HyperOpt']",1,{'valid_loss': 'MAE()'},{},MASE(),Requires valid_loss
