cls_model,backend,search_alg,status,limitation_detail
AutoTSMixerx,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTSMixerx,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoTiDE,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTiDE,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTiDE,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTiDE,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTiDE,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTiDE,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTiDE,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTiDE,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTiDE,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTiDE,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTiDE,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTiDE,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTimeMixer,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTimeMixer,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTimeMixer,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTimeMixer,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTimeMixer,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTimeMixer,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTimeMixer,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoTimeMixer,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoTimeMixer,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoTimeMixer,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTimeMixer,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTimeMixer,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoTimeXer,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTimeXer,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTimeXer,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTimeXer,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTimeXer,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTimeXer,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTimeXer,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoTimeXer,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoTimeXer,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoTimeXer,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTimeXer,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTimeXer,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoTimesNet,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoTimesNet,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoTimesNet,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoTimesNet,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTimesNet,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTimesNet,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoTimesNet,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTimesNet,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTimesNet,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoTimesNet,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoTimesNet,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoTimesNet,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoVanillaTransformer,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoVanillaTransformer,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoVanillaTransformer,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoVanillaTransformer,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoVanillaTransformer,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoVanillaTransformer,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoVanillaTransformer,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoVanillaTransformer,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoVanillaTransformer,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoVanillaTransformer,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoVanillaTransformer,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoVanillaTransformer,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoiTransformer,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoiTransformer,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoiTransformer,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoiTransformer,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoiTransformer,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoiTransformer,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoiTransformer,optuna,Basic,Init Error,Error: 'dict' object is not callable...
AutoiTransformer,optuna,Ray_Optuna,Init Error,Error: 'dict' object is not callable...
AutoiTransformer,optuna,Ray_HyperOpt,Init Error,Error: 'dict' object is not callable...
AutoiTransformer,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoiTransformer,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoiTransformer,optuna,None,Init Error,Error: 'dict' object is not callable...
AutoxLSTM,ray,Basic,Init OK,No Restrictions (Full Ray Features)
AutoxLSTM,ray,Ray_Optuna,Init OK,No Restrictions (Full Ray Features)
AutoxLSTM,ray,Ray_HyperOpt,Init OK,No Restrictions (Full Ray Features)
AutoxLSTM,ray,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoxLSTM,ray,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoxLSTM,ray,None,Init OK,No Restrictions (Full Ray Features)
AutoxLSTM,optuna,Basic,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoxLSTM,optuna,Ray_Optuna,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoxLSTM,optuna,Ray_HyperOpt,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
AutoxLSTM,optuna,Ray_BayesOpt,Skipped,Library Missing (pip install needed)
AutoxLSTM,optuna,Ray_BoHB,Skipped,Library Missing (pip install needed)
AutoxLSTM,optuna,None,Init Error,CRITICAL: Optuna backend cannot accept Ray Searcher objects.
