Auto_Model,Base_Model,Category,Argument,Default_Value,Type_Hint,Description
AutoLSTM,LSTM,Model Param (via config),encoder_hidden_size,128,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),encoder_bias,True,bool,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),encoder_dropout,0.0,float,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),context_size,None,Optional[int],Set in config={...}
AutoLSTM,LSTM,Model Param (via config),decoder_hidden_size,128,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),decoder_layers,2,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),futr_exog_list,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),hist_exog_list,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),stat_exog_list,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),exclude_insample_y,False,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),recurrent,False,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),loss,MAE(),inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),valid_loss,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),max_steps,1000,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),learning_rate,0.001,float,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),num_lr_decays,-1,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),early_stop_patience_steps,-1,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),val_check_steps,100,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),batch_size,32,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),valid_batch_size,None,Optional[int],Set in config={...}
AutoLSTM,LSTM,Model Param (via config),windows_batch_size,128,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),inference_windows_batch_size,1024,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),start_padding_enabled,False,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),training_data_availability_threshold,0.0,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),step_size,1,int,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),scaler_type,robust,str,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),random_seed,1,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),drop_last_loader,False,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),alias,None,Optional[str],Set in config={...}
AutoLSTM,LSTM,Model Param (via config),optimizer,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),optimizer_kwargs,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),lr_scheduler,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),lr_scheduler_kwargs,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),dataloader_kwargs,None,inspect._empty,Set in config={...}
AutoLSTM,LSTM,Model Param (via config),trainer_kwargs,REQUIRED,inspect._empty,Set in config={...}
AutoMLP,MLP,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x000002955612CD50>,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),backend,ray,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Control Param (Auto Init),callbacks,None,inspect._empty,Set in AutoModel(...)
AutoMLP,MLP,Model Param (via config),in_features,REQUIRED,inspect._empty,Set in config={...}
AutoMLP,MLP,Model Param (via config),out_features,REQUIRED,inspect._empty,Set in config={...}
AutoMLP,MLP,Model Param (via config),activation,REQUIRED,inspect._empty,Set in config={...}
AutoMLP,MLP,Model Param (via config),hidden_size,REQUIRED,inspect._empty,Set in config={...}
AutoMLP,MLP,Model Param (via config),num_layers,REQUIRED,inspect._empty,Set in config={...}
AutoMLP,MLP,Model Param (via config),dropout,REQUIRED,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),n_series,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x0000029556196AD0>,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),backend,ray,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Control Param (Auto Init),callbacks,None,inspect._empty,Set in AutoModel(...)
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),h,REQUIRED,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),input_size,REQUIRED,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),n_series,REQUIRED,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),stat_exog_list,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),hist_exog_list,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),futr_exog_list,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),exclude_insample_y,False,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),num_layers,2,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),hidden_size,1024,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),loss,MAE(),inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),valid_loss,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),max_steps,1000,int,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),learning_rate,0.001,float,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),num_lr_decays,-1,int,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),early_stop_patience_steps,-1,int,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),val_check_steps,100,int,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),batch_size,32,int,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),valid_batch_size,None,Optional[int],Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),windows_batch_size,32,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),inference_windows_batch_size,32,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),start_padding_enabled,False,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),training_data_availability_threshold,0.0,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),step_size,1,int,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),scaler_type,identity,str,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),random_seed,1,int,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),drop_last_loader,False,bool,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),alias,None,Optional[str],Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),optimizer,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),optimizer_kwargs,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),lr_scheduler,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),lr_scheduler_kwargs,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),dataloader_kwargs,None,inspect._empty,Set in config={...}
AutoMLPMultivariate,MLPMultivariate,Model Param (via config),trainer_kwargs,REQUIRED,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x000002955612CED0>,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),backend,ray,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Control Param (Auto Init),callbacks,None,inspect._empty,Set in AutoModel(...)
AutoNBEATS,NBEATS,Model Param (via config),h,REQUIRED,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),input_size,REQUIRED,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),n_harmonics,2,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),n_polynomials,None,Optional[int],Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),n_basis,2,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),basis,polynomial,str,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),stack_types,"['identity', 'trend', 'seasonality']",list,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),n_blocks,"[1, 1, 1]",list,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),mlp_units,"[[512, 512], [512, 512], [512, 512]]",list,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),dropout_prob_theta,0.0,float,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),activation,ReLU,str,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),shared_weights,False,bool,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),loss,MAE(),inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),valid_loss,None,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),max_steps,1000,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),learning_rate,0.001,float,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),num_lr_decays,3,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),early_stop_patience_steps,-1,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),val_check_steps,100,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),batch_size,32,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),valid_batch_size,None,Optional[int],Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),windows_batch_size,1024,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),inference_windows_batch_size,-1,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),start_padding_enabled,False,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),training_data_availability_threshold,0.0,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),step_size,1,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),scaler_type,identity,str,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),random_seed,1,int,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),drop_last_loader,False,bool,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),alias,None,Optional[str],Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),optimizer,None,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),optimizer_kwargs,None,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),lr_scheduler,None,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),lr_scheduler_kwargs,None,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),dataloader_kwargs,None,inspect._empty,Set in config={...}
AutoNBEATS,NBEATS,Model Param (via config),trainer_kwargs,REQUIRED,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x000002955612E210>,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),backend,ray,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Control Param (Auto Init),callbacks,None,inspect._empty,Set in AutoModel(...)
AutoNBEATSx,NBEATSx,Model Param (via config),h,REQUIRED,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),input_size,REQUIRED,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),futr_exog_list,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),hist_exog_list,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),stat_exog_list,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),exclude_insample_y,False,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),n_harmonics,2,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),n_polynomials,2,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),stack_types,"['identity', 'trend', 'seasonality']",list,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),n_blocks,"[1, 1, 1]",list,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),mlp_units,"[[512, 512], [512, 512], [512, 512]]",list,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),dropout_prob_theta,0.0,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),activation,ReLU,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),shared_weights,False,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),loss,MAE(),inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),valid_loss,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),max_steps,1000,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),learning_rate,0.001,float,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),num_lr_decays,3,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),early_stop_patience_steps,-1,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),val_check_steps,100,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),batch_size,32,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),valid_batch_size,None,Optional[int],Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),windows_batch_size,1024,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),inference_windows_batch_size,-1,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),start_padding_enabled,False,bool,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),training_data_availability_threshold,0.0,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),step_size,1,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),scaler_type,identity,str,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),random_seed,1,int,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),drop_last_loader,False,bool,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),alias,None,Optional[str],Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),optimizer,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),optimizer_kwargs,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),lr_scheduler,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),lr_scheduler_kwargs,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),dataloader_kwargs,None,inspect._empty,Set in config={...}
AutoNBEATSx,NBEATSx,Model Param (via config),trainer_kwargs,REQUIRED,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x000002955612E850>,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),backend,ray,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Control Param (Auto Init),callbacks,None,inspect._empty,Set in AutoModel(...)
AutoNHITS,NHITS,Model Param (via config),h,REQUIRED,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),input_size,REQUIRED,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),futr_exog_list,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),hist_exog_list,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),stat_exog_list,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),exclude_insample_y,False,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),stack_types,"['identity', 'identity', 'identity']",list,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),n_blocks,"[1, 1, 1]",list,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),mlp_units,"[[512, 512], [512, 512], [512, 512]]",list,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),n_pool_kernel_size,"[2, 2, 1]",list,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),n_freq_downsample,"[4, 2, 1]",list,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),pooling_mode,MaxPool1d,str,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),interpolation_mode,linear,str,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),dropout_prob_theta,0.0,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),activation,ReLU,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),loss,MAE(),inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),valid_loss,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),max_steps,1000,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),learning_rate,0.001,float,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),num_lr_decays,3,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),early_stop_patience_steps,-1,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),val_check_steps,100,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),batch_size,32,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),valid_batch_size,None,Optional[int],Set in config={...}
AutoNHITS,NHITS,Model Param (via config),windows_batch_size,1024,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),inference_windows_batch_size,-1,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),start_padding_enabled,False,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),training_data_availability_threshold,0.0,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),step_size,1,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),scaler_type,identity,str,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),random_seed,1,int,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),drop_last_loader,False,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),alias,None,Optional[str],Set in config={...}
AutoNHITS,NHITS,Model Param (via config),optimizer,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),optimizer_kwargs,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),lr_scheduler,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),lr_scheduler_kwargs,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),dataloader_kwargs,None,inspect._empty,Set in config={...}
AutoNHITS,NHITS,Model Param (via config),trainer_kwargs,REQUIRED,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Control Param (Auto Init),h,REQUIRED,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),loss,MAE(),inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),valid_loss,None,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),config,None,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),search_alg,<ray.tune.search.basic_variant.BasicVariantGenerator object at 0x0000029556022010>,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),num_samples,10,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),refit_with_val,False,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),cpus,12,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),gpus,0,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),verbose,False,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),alias,None,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),backend,ray,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Control Param (Auto Init),callbacks,None,inspect._empty,Set in AutoModel(...)
AutoNLinear,NLinear,Model Param (via config),h,REQUIRED,int,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),input_size,REQUIRED,int,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),stat_exog_list,None,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),hist_exog_list,None,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),futr_exog_list,None,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),exclude_insample_y,False,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),loss,MAE(),inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),valid_loss,None,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),max_steps,5000,int,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),learning_rate,0.0001,float,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),num_lr_decays,-1,int,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),early_stop_patience_steps,-1,int,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),val_check_steps,100,int,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),batch_size,32,int,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),valid_batch_size,None,Optional[int],Set in config={...}
AutoNLinear,NLinear,Model Param (via config),windows_batch_size,1024,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),inference_windows_batch_size,1024,inspect._empty,Set in config={...}
AutoNLinear,NLinear,Model Param (via config),start_padding_enabled,False,inspect._empty,Set in config={...}
